Nome;Rating;Posição Principal
Neeskens Kebano;74;CAM/LM
Thievy;74;ST
Willy Boly;74;CB
Leigh Griffiths;74;ST
Víctor Álvarez;74;LM/CM
Fernando Uribe;74;ST
Simon Zoller;74;ST/RM
Joao Plata;74;LW/ST
Konstantinos Stafylidis;74;LB
Matthias Ostrzolek;74;LB/CDM
Darlington Nagbe;74;LM/RM
Benik Afobe;74;ST
Jonathan Schmid;74;LM/RM
Gabriel;74;GK
Juankar;74;LB/LM
Gabriel Torje;74;LM/RM
Rasmus Falk Jensen;74;LM/RM
Ivan Strini ;74;LB
Tomáš Kalas;74;CB/RB
Diego;74;LM
Brecht Dejaegere;74;LM/RM/CM
Vladislav Stoyanov;74;GK
Moritz Leitner;74;CM/RM
Alhassan Wakaso;74;CDM/CM
Liam Moore;74;CB
Guillermo Burdisso;74;CB
Artem Fedetskyi;74;RB
Tom Ince;74;RW/CAM
Jeff Hendrick;74;CM
Santiago García;74;LB
Adam Maher;74;CAM/CM
Ricardo van Rhijn;74;RB
Magomed Ozdoev;74;CDM/CM
Emmanuel Emenike;74;ST/RM
Musa Ça  ran;74;CDM/CM
Diego Mariño;74;GK
Sebá;74;LW/ST
Deivid;74;CB
Hong Chul;74;LB/LM
Raphael Martinho;74;LM/CM
Jonathan Delaplace;74;CM
Bryan Dabo;74;CM/RB
Kamohelo Mokotjo;74;CDM/CM
Michael Arroyo;74;LM
Trent Sainsbury;74;CB
Sergey Petrov;74;LB/CDM/CM
Vincent Pajot;74;CM/CDM
Andy Najar;74;RB/RM
Jonas Svensson;74;RB
James McClean;74;LM
Abdul Majeed Waris;74;ST/LW
Franco Jara;74;ST
Raul García;74;LB
Luc Castaignos;74;ST
Samu Saiz;74;CAM
Antonino Ragusa;74;LW
Jacopo Sala;74;RB/CM
Ibrahima Baldé;73;ST
Brou Benjamin Angoua;74;CB
Mathieu Peybernès;74;CB
Fransérgio;74;CM/CDM
Miloš Ninkovi ;74;CAM/CM
Florian Kainz;74;LM/CAM
Tiago Pinto;74;LB
Maxim Kanunnikov;74;RM/ST
Rami Gershon;74;CB
Luca Marrone;73;CDM/CB
Stefan Ilsanker;74;CDM/CB
Tomoaki Makino;74;CB/LB/CDM
Fallou Diagne;74;CB/CDM
Magaye Gueye;74;ST/RM
Jano Ananidze;74;CAM/RW
Osmar;74;CB
Rômulo;74;CM
Nélson Lenho;74;LB
Dodô;74;LM/LB
Arnaud Souquet;74;RB/LB
Hanno Behrens;74;CDM
Haris Seferovi ;74;ST/LM
Benjamin Jeannot;74;ST
Paulo Victor;74;GK
Alan Pulido;74;ST/CF
Walid Mesloub;74;CM/CDM
Artur Yusupov;74;CDM/CM
Shane Duffy;74;CB
Júnior Caiçara;74;RB/RM
Rafael;74;GK
Edwin Cardona;74;CAM/RW
Vladislav Ignatiev;74;LM/RM
Chris Wood;74;ST
Hrvoje Mili ;74;LB/LM
Valon Berisha;74;CAM/CM
Botía;74;CB
Lucas Orbán;74;LB/CB
Alejandro Bedoya;73;CM/RM
Fidel Martínez;74;LM/ST
Connor Wickham;74;ST
Luigi Sepe;74;GK
Préjuce Nakoulma;74;LM/RM
Antonio Ríos;74;CDM/CM
Laurens De Bock;74;LB
Omar Gonzalez;74;CB
Míchel;74;CAM/CM
Johannes Hopf;74;GK
José Ángel;74;LB
Karl-Johan Johnsson;74;GK
Steven Zuber;74;LM/LWB
Yevhen Seleznyov;74;ST
Maikel van der Werff;74;CB
Robbin Ruiter;74;GK
 smail Köyba  ;74;LB
Kiko Femenía;74;RB/RM
Da Costa;74;GK
Ben Mee;74;CB/LB
Dani Hernández;74;GK
Bamba Anderson;74;CB
Diego Farías;74;CAM/RW/LW
Dennis Diekmeier;74;RB
Jonathan Urretaviscaya;74;RW/LW
Nélson Oliveira;74;ST
Gabriele Angella;74;CB
Alexander Esswein;74;RM/LM
Tunay Torun;74;RM/LM
Saúl Berjón;74;LM/ST
Fidel;74;LM/RM
Eloy Room;74;GK
Marcelo Estigarribia;74;RM/LM
Laure;74;RB/LB
George Lebese;74;LM/LW
Delvin N'Dinga;74;CDM
Benoît Poulain;74;CB
Mohamed Diamé;74;CAM/CM
Dani Pacheco;74;LM
Ramon Motta;74;LM/LB
Carlos Villanueva;75;CAM/CM
Fabrizio Cacciatore;74;RB/LB
Lucas Viatri;74;ST
Douglas;74;CB
Abdelhamid El Kaoutari;74;CB
Essam El-Hadary;74;GK
Frédéric Sammaritano;74;LM/CAM
Rudy Gestede;74;ST
Ricardo Laborde;74;RW/CAM
Douglas;74;GK
Alexey Ionov;74;RM/LM
Viktor Vasin;74;CB
Sloan Privat;74;ST
Stefan Johansen;74;CM/CDM
Albert Adomah;74;RM/LM
Gojko Ka ar;74;CB/CDM
Kiko Olivas;74;CB
Matías Alustiza;74;ST
Dentinho;74;CAM
Christian Stuani;74;RM/ST
Adam Clayton;74;CDM/CM
Maciej Rybus;74;LB/LM
Elías Hernández;74;RM
Konstantin Rausch;74;LM/LB
Tomáš Hubo an;74;CB
Miroslav Stoch;74;LM/RM
Yoel;74;GK
Péter Gulácsi;74;GK
Fabiano;74;GK
Ismaël Traoré;74;CB
Djalma;74;RM/LM
Ádám Szalai;74;ST
Vincent Bessat;74;LM/LB
Romain Alessandrini;74;RM/LM
Ricky van Wolfswinkel;74;ST
Castro;74;CAM/CM
Nolan Roux;74;ST
Juan Forlin;74;CB
Daine Klate;74;LM/CAM
Ali Çamdal ;74;CDM
Slobodan Rajkovi ;74;CB
Jesús Molina;74;CDM/CM
Erwin Mulder;74;GK
Daniel Schwaab;74;CB/RB
Jonny Howson;74;CM/RM
Cheikh M'Bengue;74;LB
Víctor Díaz;74;RB/LB
Yohan Benalouane;74;CB/RB
Milan Škoda;75;ST/CF
Claudio Beauvue;74;ST/RW
Walter Gargano;74;CDM/CM
Ricardo;74;GK
Robbie Kruse;72;RM/CF
Mitchell Langerak;74;GK
Dale Stephens;74;CM
Alexandru Epureanu;74;CB
Vassilis Torosidis;74;RB/LB
Romain Genevois;74;CB/RB
Tomáš Necid;74;ST
Márcio Azevedo;74;LB
František Rajtoral;74;RB/RM
Kengo Nakamura;74;CM/CDM
Szymon Paw owski;74;LM
Marcel Heller;74;LM/RM
Gary Hooper;74;ST
Ola Kamara;74;ST
Youssouf Mulumbu;74;CDM/CM
Fernando Forestieri;74;CF/CAM
Bracali;74;GK
Craig Gardner;74;CM/RM/CDM
Giuseppe Vives;74;CDM/CM
Abdou Razack Traoré;74;CAM/LM
Lee Nguyen;74;CAM/ST
Aykut Demir;74;CB
Milan Biševac;74;CB
Modibo Diakité;74;CB
Mathieu Coutadeur;74;CM/CDM
Mbaye Leye;74;ST
Manuel Iturra;73;CDM/CM
Ola Toivonen;74;CAM/ST
Jean-Sylvain Babin;74;CB
Änis Ben-Hatira;74;LM/RM
Roberto Ovelar;74;ST
Duško Toši ;74;CB/LB
Kwoun Sun Tae;74;GK
Yura Movsisyan;74;ST
Oswaldo Vizcarrondo;74;CB
Johnny Herrera;74;GK
De las Cuevas;74;CM/RM/LM
Sebastián Leto;74;CAM/CF
Glenn Murray;74;ST
Panagiotis Kone;74;CAM/CF/CDM
Varela;74;LW/LM/RM
Mike Jensen;74;CM
Elustondo;74;CB/CDM
James Troisi;74;CAM
José María Basanta;74;CB
De la Bella;74;LB
Graham Dorrans;74;CM/CDM
Diego Capel;73;LM/RM
Landry Joel N'Guemo;74;CDM/CM
José Enrique;74;LB
Stephen Ireland;74;CAM/CM
Felix Bastians;74;CB/LB
Micah Richards;74;CB/RB
Charlie Daniels;74;LB
Victor Anichebe;74;ST
Barragán;74;RB/RM
Sergio Floccari;74;ST
Serge Gakpé;74;RM/ST
Taiseer Al Jassam;74;CDM/CM
Boukary Dramé;74;LB/LM
Zdravko Kuzmanovi ;74;CM/CDM
Zeca;74;CDM/RM
Morgan Amalfitano;74;CM/RM/LM
Jesús Méndez;74;CM/CDM
Andrey Sinitsyn;74;GK
Marc Wilson;74;CB/LB
Hakan Balta;74;CB/LB
Evandro;74;CM/CAM
Leonardo Ulloa;74;ST
Cássio;74;GK
Joe Ledley;74;CDM/CM
Brad Guzan;74;GK
Nedum Onuoha;74;CB/RB
Jérémy Clément;74;CDM/CM
Richard Keogh;74;CB
Russell Martin;74;CB/RB
Daniele Padelli;74;GK
Alexander Baumjohann;74;CAM/LM
David Ousted;74;GK
Abdoulay Konko;74;RB/RM
Élton;74;CAM/ST
Andrés Pérez;74;CDM
Oriol Riera;74;ST
Damien Delaney;74;CB
Alaixys Romao;74;CDM/CM
Cristian Campestrini;74;GK
Besart Berisha;74;ST
Ricardo;74;CB
Ashkan Dejagah;74;RM/LM
Sylvain Marveaux;74;CAM/ST
Toché;74;ST
Yoan Gouffran;74;LM/RM
Moisés Muñoz;74;GK
Ross McCormack;74;ST/CAM
Shin Hwa Yong;74;GK
Juan Martínez;74;ST/RM
Edgar Barreto;74;CM/CDM
José Sand;74;ST
Bobô;74;ST
Alexander Tettey;74;CDM
Henri Bedimo;74;LB
Romain Salin;74;GK
Sergio Pellissier;74;ST
Oleg Kuzmin;74;RB
Miguel Flaño;74;CB
Tito;74;RB/CB/RWB
Eren Albayrak;74;LB/LM
Serkan K r nt l ;74;GK
Muhammet Demir;74;ST/CAM
Luciano Pocrnjic;74;GK
Tolga Zengin;74;GK
Leandro Desábato;74;CB
Pierre Webó;74;ST
Daniel Díaz;74;CB/RB
Alejandro Palacios;74;GK
Paulo Da Silva;74;CB
Lucian Sânm rtean;74;CM/LW
Jérémy Morel;74;LB/CB
Carl Medjani;74;CB/CDM
Domenico Maietta;74;CB
Goran Pandev;74;ST/CAM
Daniele Croce;74;CM
Mattia Cassani;74;LB/RB
Massimo Gobbi;74;LB/LM
Simon Francis;74;CB/RB
Roberto Hilbert;74;RB
Scott Brown;74;CDM
Jermaine Pennant;74;RM/RW
Jermaine Jones;74;CM/CDM
Renaud Cohade;74;CM
Franck Béria;74;LB/RB
Steeve Elana;74;GK
Cani;74;CAM/RM
Yohann Pelé;74;GK
Cesare Bovo;74;CB
Simone Pepe;74;RM/LM
Simone Padoin;74;CM/LB
Rob Green;74;GK
Clemens Fritz;74;CM/CDM
Jérémie Aliadiere;74;ST
Sébastien Squillaci;74;CB
Shaun Maloney;74;CAM/LM
Fabricio Coloccini;74;CB
Aliaksandr Hleb;74;CAM/LW
Sylvain Armand;74;CB
Antonio Floro Flores;74;ST/LW
Andreas Johansson;74;CB
Ricardo Costa;74;CB
Nicolas Penneteau;74;GK
Timmy Simons;74;CDM/CB
John O'Shea;74;CB
Tarantini;74;CM
Lukáš Pokorný;73;CB
Gastón Guruceaga;73;GK
Lindsay Rose;73;CB/RB
Aarón Martín;73;LB
Darko Brasanac;73;CM/RM
Pedrinho;73;CM/CAM/RM
Konstantinos Laifis;73;CB/LM
Yu Kobayashi;73;ST/LM
Fernando Zampedri;73;ST
Tsukasa Shiotani;73;CB
Masaaki Higashiguchi;73;GK
Ça lar Söyüncü;73;CB
Dany Cure;73;RM
Walter González;73;ST
Yusuf Yaz c ;73;CAM/LM
Miguel Silva;73;GK
Hernán Toledo;73;LM
Filip Krovinovi ;73;CAM
Mouctar Diakhaby;73;CB
Mijat Ga inovi ;73;LM/CAM
Benjamin Meseira;73;RB
Gus Outomouro;73;ST/LM
Dênildo Stein;73;ST/CF
Gérson Noalha;73;ST/LM
Erick Gameira;73;ST/CF
Elias Fontoira;73;CDM
Pietrson Mendes;73;CAM/ST
Brenito Duarte;73;CB
Michildo Melo;73;CB/RB
Heitinho Zanon;73;CB/LB
Oswaldito Cuba;73;LB/LM
Nivo Serpinho;73;GK
Pierrino Faria;73;GK
Victorino Magela;73;GK
Evandro Rochedo;73;ST
Gustavo Lobateiro;73;CAM/CF
Jorge Carvallinho;73;CB/LB
Ailton Valpaços;73;CB/CDM
Fabiano Sonta;73;CB/CDM
Osvaldo Lodeiro;73;CB/LB
Vinicius Cardenha;73;RB/CB
Juli Piresinho;73;RB
Freder Cabral;73;GK
Jaim Abra;73;GK
Pierre Lees-Melou;73;CAM/RM
Milot Rashica;73;RW
Tendai Ndoro;73;ST/CF
Borja Mayoral;73;ST
Edmilson Junior;73;LM/RM
Alfonso Pedraza;73;LM
Simon Deli;73;CB/CDM
Oleksandr Zinchenko;73;CAM/LW
Eber Bessa;73;CM
Frédéric Guilbert;73;RB/CB
Cyle Larin;73;ST
Fabián Sambueza;73;CAM/RM
Marcos Díaz;73;GK
Jorge Moreira;73;RB
Camilo Mayada;73;RM/RB
Andrés Ibargüen;73;LW
Sinan Gümü ;73;RM
Alex Berenguer;73;LM/LWB
Keagan Dolly;73;LM/CAM
Motaz Hawsawi;73;CB
Jorge Benítez;73;ST
Marín;73;LB/LM
Kenneth Saief;73;LM
James Sánchez;73;CDM/CM
David Soria;73;GK
Valentin Rongier;73;CM/CDM
Timo Baumgartl;73;CB
Kuca;73;LW/RW
Mohamed Larbi;73;CAM/LM
Juan Martín Lucero;73;ST
Nelson Acevedo;73;CDM/CM
Ali Adnan;73;LB/LM
Enes Ünal;73;ST
Sibusiso Vilakazi;73;CAM
Diego Churín;73;ST/LW
Masato Morishige;73;CB
Bernard Mensah;73;CAM/LM
Andrés Cubas;73;CDM
Ondrej Duda;73;CAM
Manuel Locatelli;73;CDM
Hélder Costa;73;RW/LM/LW
Enzo Crivelli;73;ST
Boschilia;73;CAM
Lee Jae Sung;73;CM/CDM
Hernán Hechalar;73;CAM/RM
Steve Birnbaum;73;CB
Luca Mazzitelli;73;CDM/CM
Andrés Felipe Roa;73;CAM
Germán Conti;73;CB
Pau López;73;GK
Anderson Esiti;73;CDM/CM
Federico Melchiorri;73;ST
Zaldúa;73;RB
Iliass Bel Hassani;73;CAM/RW
Cotán;73;CDM/CM
Bruno Varela;73;GK
Mahmoud Abdel Moneim;73;RM/ST
Ebenezer Ofori;73;CM
Stipe Perica;73;ST
Firmin Ndombe Mubele;73;ST/LM
Mbwana Ally Samatta;73;ST
Junya Tanaka;73;ST/LM
Miha Mevlja;73;CB/CDM
Anderson Plata;73;ST
Lukas Spalvis;72;ST
Allan Saint-Maximin;73;LM/RM
Marcel Tisserand;73;CB/RB
Idris;73;CDM
Antonio Di Gaudio;73;LM
Gaetano Letizia;73;LB/RM
Federico Carrizo;73;LW/LM
Jorge Broun;73;GK
Damián Musto;73;CDM
Marlon Santos;73;CB
Andrea Petagna;73;ST
Kenedy;73;LM/LB
Jason;73;RM/ST
Roni;73;LM/RM
Lucas Janson;73;LM/ST
Fernando Manríquez;73;CM/CAM
Enzo Kalinski;73;CM
Carlos Carbonero;73;CM/RM
Brahian Alemán;73;LM/CM
Germán Voboril;73;LB
Juan Caicedo;73;ST
Victor Ayala;73;CM/RB
Jefferson Duque;73;ST
Farid Díaz;73;LB
Freddy Hinestroza;73;LM/RM
Wilmar Barrios;73;CDM
Jefferson Cuero;73;LM
Angelo Rodríguez;73;ST
David Silva;73;CM/CDM
Ricardo Jérez;73;GK
Guillermo Celis;73;CDM
Esteban Pavez;73;CM/CDM
Leandro Castellanos;73;GK
José Cuadrado;73;GK
Alexey Miranchuk;73;CAM/ST
Nicolás Vikonis;73;GK
Carlos Lizarazo;73;CAM/LM
Adama;73;RW/RM
Mykyta Shevchenko;73;GK
Fábio Cardoso;73;CB
Erick Pulgar;73;CDM/CM
Felipe Mora;73;ST
Saulo Decarli;73;CB
Frank Acheampong;73;LM/LB
Cifuentes;73;RWB/RM
Jimmy Cabot;73;LM/ST
Josué;73;CB
William Dutoit;73;GK
Walker Zimmerman;73;CB
Romain Philippoteaux;73;RM/LW
Mauro Matos;73;ST
Clinton Njie;73;ST/LW
Ricardo Esgaio;73;RB/LB
Luciano;73;ST/CAM
Alexandru Chipciu;74;RM/LM
Koo Ja Ryong;73;CB
Kwon Chang Hoon;73;CM
Moussa Dembélé;73;ST
Riza Durmisi;73;LB/LWB
Mpho Makola;73;CAM/CM
Frederico Venâncio;74;CB
Georgi Milanov;73;LM/CAM
Rubén García;73;LM/RM
Mohammed Khalil Al Owais;73;GK
Vincent Laurini;73;RB
Marc-Oliver Kempf;73;CB
Louis Schaub;73;CAM/RM
Ilya Kutepov;73;CB
Darwin Machís;73;LM/ST
Renato Santos;73;LM/RM
André Ramalho;73;CB/CDM
Chisamba Lungu;73;RM/LM
Bilal Ba aç ko lu;73;RW/LW
Victor Andrade;73;RW/RM
Jordan Adéoti;73;CB/CDM
Stefan Mitrovi ;73;CB
Gaëtan Laborde;73;ST
Mathieu Michel;73;GK
Maxime Poundjé;73;LB
Nawaf Al Abed;74;LM/RM
Ryan Gauld;73;CAM/CM
Mohammed Al Sahlawi;73;ST
Sam Byram;73;RB/RM
Eric Bicfalvi;73;CAM/CM
Drago  Grigore;71;CB/CDM
Raheem Lawal;73;CDM/CAM
Thomas Foket;73;RM/RB
Andreas Pereira;73;LM/LW
Clinton Mata;73;RB/RM
Olivier Boumal;73;RM/LM
Dimitrios Pelkas;73;CAM/CM
Ivan Santini;73;ST/CF
Alfonso González;73;CAM/CM
Josef Alexander Martínez;74;ST
Dom Dwyer;73;ST
Cristiano;73;LM/CF
Simon Tibbling;73;CM/RW
Viktor Claesson;73;CAM/CM
Jordan Lukaku;73;LB
Simon Falette;73;CB
Héctor Canteros;73;CDM/CM
Luciano Aued;73;CM/CDM
Kalifa Coulibaly;73;ST
Silviu Lung Jr.;73;GK
Luciano Abecasis;73;RB
Solomon Kverkvelia;73;CB/LB
Jan Kopic;73;RM/LM
Matteo Bianchetti;73;CB
Alex Pritchard;73;CAM/LM
Ewerton;73;CB
Karim Rekik;73;CB
Portu;73;CM/CAM
Charlie Taylor;73;LB
Pawe  Olkowski;73;RB/RM
Ghayas Zahid;73;CAM/LW
Ole Kristian Selnæs;73;CDM/CM
Raúl Ruidíaz;73;ST
Santiago García;73;ST
Florin Gardo ;73;CB
Michael de Leeuw;73;ST/RW
Jakub Brabec;73;CB
Marvin Bakalorz;73;CDM/CM
Koffi Djidji;73;CB/CDM
Gabriel Hauche;73;ST/LM
Alban Meha;73;LM/RM
Aron Jóhannsson;73;ST
Ahmed El-Shenawy;73;GK
Juan Ignacio Gomez;73;RW/LW
Hlompho Kekana;73;CDM
Balliu;73;RB
Pawe  Wszo ek;73;RM/CAM
Chris Löwe;73;LB
Adnane Tighadouini;73;LW
Harry Maguire;73;CB
Oscar Hiljemark;73;CM/CDM
Leonardo Spinazzola;74;LM/LB
Gianluca Caprari;73;CF/CAM
Alexander Schwolow;73;GK
Danilo Avelar;73;LB
Alex Martínez;73;LB
Diego Arias;73;CDM/CM
Abdoulay Diaby;73;ST/RW
Aziz Behich;73;LB
Nacho Cases;73;CDM/CM
Ola John;73;LM/RM
Felix Klaus;73;LM/RM
Jaimen Ayoví;73;ST
Remo Freuler;73;CM/CAM
Anthony Limbombe;73;LW
Yacouba Sylla;73;CDM/CM
Álvaro;73;ST
Federico Santander;73;ST
Fegor Ogude;73;CDM/CM
Camillo Ciano;73;RW/LW
Afriyie Acquah;73;CM
Dominik Kaiser;73;RM/CM
Oliver Sorg;73;RB/LB
Jerry Mbakogu;73;ST
Emmanuel Gigliotti;73;ST
Carl Jenkinson;73;RB
Pedro Mendes;73;CB
James Forrest;73;RM/CAM
Nico Schulz;73;LM/LB
Guilherme;73;RM/LB
Lukas Hinterseer;73;ST/RW
Ben Rienstra;73;CM/CDM
Ben Gibson;73;CB
Marco Bizot;73;GK
Aras Özbiliz;73;RM/LM
Arbilla;73;RB
Marco Matias;73;LW/LM
Tino-Sven Suši ;73;CAM/CM
Anders Christiansen;73;CM
Bartosz Bereszy ski;73;RB
Sylvester Igboun;73;ST/RM
Almog Cohen;73;CDM/CM
Fernando Canesín;73;RM
Montañés;73;LM/RM
Claiton;73;CB
Joselu;73;ST/LM
Santos;73;CAM
Ilja Nestorovski;73;ST/LW
João Pedro;73;CAM/CM
Yun Young Sun;73;CB
Raúl Lizoain;73;GK
Georgios Tzavellas;73;CB/LB
Ibragim Tsallagov;73;RB/CDM
Kévin Malcuit;73;RB/RM
Grant Hanley;73;CB
Jonathan Williams;73;CAM/CM
Zakaria Labyad;73;CAM/LW
Martin Linnes;73;RB
Tano Bonnin;73;CB/RWB
Sebastián Dubarbier;73;LB/LWB
Guerrero;73;ST
Leandro Bacuna;73;RB/CM
François Moubandje;73;LB
Denis Alibec;73;ST/LW
Lorenzo Crisetig;73;CM/CDM
Idriss Saadi;73;ST
Karim Ansarifard;73;ST/LW/RW
Héldon;73;LW/RW
Željko Brki ;73;GK
Borja García;73;CM/LM
Daniel Ayala;73;CB
Knowledge Musona;73;CAM/RM
Christoph Moritz;73;CM/CDM
Lasse Sobiech;73;CB
Pelé;73;CDM/CM
Necip Uysal;73;CDM/RB
Jack Colback;73;CDM/CM
Conor Hourihane;73;CM
Dario Dumi ;73;CB
Tom Lees;73;CB
Beram Kayal;73;CM
Idrissa Sylla;73;ST
Jonathan Estrada;73;CAM/RW
Joel Obi;73;CM
Vid Belec;73;GK
Adama Traoré;73;LB
Christian Santos;73;ST/CAM
Vincent Le Goff;73;LB
Yeni Ngbakoto;73;LM/CAM
Giorgi Loria;73;GK
Juanpe;73;CB
Kike;73;ST
Mato Jajalo;73;CM/CAM
Milton Caraglio;73;ST
Artjoms Rud evs;73;ST
Johnathan;73;ST
Bruno César;73;LB/CM
Paulinho;73;LW
Kristoffer Nordfeldt;73;GK
Niklas Hult;74;LWB/CDM
Néstor Araujo;73;CB
Yun Suk Young;73;LB/LM
Kim Shin Wook;73;ST
Kim Seung Gyu;73;GK
Shinzo Koroki;73;ST/CF
Osama Hawsawi;73;CB
Ivan Obradovi ;73;LB
Juan Mercier;73;CDM
Jóhann Berg Gudmundsson;73;RM/CAM
Felix Kroos;73;CDM/CM
Kian Hansen;73;CB
Matt Besler;73;CB
Ortuño;73;ST
Mike Frantz;73;CM/RM
Daniel Villalva;73;LM/CF
Darwin Quintero;73;ST/RM
Osvaldo Martínez;73;CM
Edgar Benítez;73;LM
Nicola Rigoni;73;CM/CDM
Eyong Enoh;72;CDM/CM
Javi Castellano;73;CDM/CM
Vincent Manceau;73;RB
Gianluca Sansone;73;LW/CAM
Ezequiel Luna;73;CB
Quique;73;ST/RM
Moestafa El Kabir;73;ST/CAM
Marko Vejinovi ;73;CM/CDM
Alcalá;73;CB
Guaita;73;GK
Sílvio;73;RB/LB
Harrison Afful;73;RB/RWB
Jaime Romero;73;RM/LM
Mads Albæk;73;CM/CDM
Ashley Westwood;73;CM/CDM
Maximiliano Caire;73;RB/LB
Garath McCleary;73;RW/ST
Luca Siligardi;73;RW/LM
Alex Bergantiños;73;CDM/CB
Emmanuel Imorou;73;LB
Mehdi Mostefa;73;CDM/CM
Igor Lewczuk;73;CB
Stijn Wuytens;73;CB/CM
Wallace Reis;73;CB
Ricardo Noir;73;LW/RW
George Friend;73;LB
Sergey Politsevich;73;CB
David Yurchenko;73;GK
Rens van Eijden;73;CB
Jair Pereira;73;CB
Jorge Hernández;73;CDM
Vladimir Granat;73;CB/LB
Luis Fuentes;73;LB
Anders Konradsen;73;CM/CDM
Moussa Maâzou;73;ST/RW
Hugo González;73;GK
Alexander Büttner;73;LB
Claudemir;73;CM/CDM
Vítor Gomes;73;CM/CAM
Ezequiel Muñoz;73;CB
Alberto;73;GK
Raúl Fernández;73;GK
Hamdi Harbaoui;73;ST
Roman Neustädter;73;CB/CDM
Levan Mchedlidze;73;ST
Kyle Bartley;73;CB
Oliver Norwood;73;CDM/CAM
Henri Lansbury;73;CM/CAM
Ørjan Nyland;73;GK
Joshua King;74;ST/RM
Vegard Forren;73;CB
Thomas Rogne;73;CB
Deniz Kadah;73;CAM/CF
Lora;73;RB
Javier Morales;73;CAM/CM
Felipe;73;CB
Stefanos Athanasiadis;73;ST
Dan Gosling;73;CM
Aurélien Collin;73;CB
Jordan Rhodes;73;ST
Fábio Pacheco;73;CDM/CB
Ömer  i mano lu;73;ST/RM
Alan Judge;73;CAM/LM
Sebastien Dewaest;73;CB
Orlando Sá;73;ST
Martin Hansen;73;GK
Martin Kelly;73;RB/LB
Vurnon Anita;73;RB/CDM
Mandla Masango;73;LM/RM
Georg Margreitter;73;CB
Natxo Insa;73;CDM/CM
Barry Bannan;73;CM/RM
Fran Mérida;73;CDM/CAM
Nacer Barazite;73;CAM/ST
Eros Pisano;73;RB
Pål André Helland;73;RW
Marcello Gazzola;73;RB
Jamel Saihi;73;CDM/CM
Diego Vera;73;ST
Mahmut Tekdemir;73;CDM
Rúben Ribeiro;73;CAM
David Stockdale;73;GK
Konstantin Vassiljev;73;CAM/CM
Maurício Ramos;73;CB
Alexander Gerndt;73;ST/CAM
Pierre Bengtsson;73;LB
Anderson Luís;73;RB
Craig Cathcart;73;CB/RB
Tommy Elphick;73;CB
Luis Robles;73;GK
Sam Vokes;73;ST
Varela;73;CB/CDM
Javier García;73;GK
Daniel Ciofani;73;ST
Nicolas Frey;73;RB
Ryan Donk;73;CDM/CB
Diego Biseswar;73;CAM/LW
Bueno;73;CAM
Özer Hurmac ;73;CAM/LM
Gaëtan Bong;73;LB
Kévin Monnet-Paquet;73;LW/RW
Tobias Sippel;73;GK
Haris Medunjanin;73;CDM/CM
Lasse Nielsen;73;CB
Tore Reginiussen;73;CB
Mikael Lustig;73;RB/CB
Welliton;73;ST
Daniel Larsson;72;LM/RM
Juan Ángel Albín;73;CAM
Juan Camilo Zúñiga;73;LB/RB
Dax McCarty;73;CDM
Ritchie De Laet;73;RB/LB
Mateus;73;LW/RW
Kevin McDonald;73;CDM/CM
Krzysztof M czy ski;73;CM/CDM
Sone Aluko;73;CF/ST
Veli Kavlak;73;CDM/CM
Torrejón;73;CB/RB
Federico Dionisi;73;ST
Sébastien Bassong;73;CB
Alex López;73;CM/CAM/LM
Crespo;73;CB/LB
Onur Kaya;73;LM/LW
Ignacio Scocco;73;ST
Sereno;73;CB
Marco Motta;73;RB/RM
David Rodríguez;73;ST/CF
Cole Skuse;73;CDM/CM
Ukra;73;RW/CAM
Urby Emanuelson;73;LB/LM
Mehdi Lacen;73;CDM/CM
Emmanuel Cascione;73;CM/LM/CB
Markus Suttner;73;LB
Jonathan Fabbro;73;CAM
Sami Allagui;73;RM/ST
Alberto Rodríguez;73;CB
Elkin Soto;73;CM/CDM
Yannick Cahuzac;73;CDM/CM
Semih Kaya;73;CB
Nicklas Bendtner;73;ST
Nicolás Domingo;73;CDM
Jorge Ortiz;73;CM/CDM
Claudiu Ke erü;73;ST/LW
Olivier Veigneau;74;LB
Cameron Jerome;73;ST
Taye Taiwo;73;LB
Michu;73;CAM/CM
Tim Sparv;73;CDM
Adam Federici;73;GK
Tim Hoogland;73;CB/RB
Juninho;73;CB
Robert Almer;73;GK
Behrang Safari;73;LB/CB
John Ruddy;73;GK
Sébastien Pocognoli;73;LB
Phil Bardsley;73;RB/LB
Roland Lamah;73;LM/LW
Pablo Barrientos;73;LM/CAM
Ilya Abaev;73;GK
Artur;73;CAM/CM
Remko Pasveer;73;GK
Zapater;73;CDM/CM
Ben Watson;73;CM/CDM
Lanzarote;73;RM/LM
Raffaele Palladino;73;LW/ST
Léo Matos;73;RB/RM
Luis Gonzalo Bustamante;73;CAM
Ken Reichel;73;LB/LWB
Mark González;73;LM/LW
Scott Carson;73;GK
Niko Kranj ar;73;CAM/CM
Benoît Assou-Ekotto;73;LB
Christophe Berra;73;CB
Samuel Holmén;73;CDM/CM
Thomas Buffel;73;RM/LM
Cristian S punaru;73;RB/CDM
Tomáš Sivok;73;CB
Markel Bergara;73;CM/CDM
Lee Chung Yong;73;LM/RM
Manuel Pasqual;73;LB/LM
Jorge Molina;73;ST/CF
Diego Barreto;73;GK
Arnold Mvuemba;73;CM/CDM
Chad Marshall;73;CB
Peter Utaka;73;ST
Jérémy Perbet;73;ST
